ID,Oil_Type,Surfactant_Type,Required_HLB,Oil_MW,Surf_HLB,Surf_MW,Smix_Ratio,System_HLB,PDI,Stability_Target
NE_0020,Castor Oil,Tween 20,14.0,933.4,16.7,1227.0,1,10.85,0.239,0
NE_0021,Castor Oil,Labrasol,14.0,933.4,12.0,450.0,2,9.67,0.175,0
NE_0022,Castor Oil,Tween 80,14.0,933.4,15.0,1310.0,3,12.5,0.122,1
NE_0023,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500.0,2,10.67,0.216,0
NE_0024,Capryol 90,Tween 80,11.5,172.2,15.0,1310.0,2,11.67,0.299,1
NE_0025,Miglyol 812,Tween 80,15.0,520.0,15.0,1310.0,2,11.67,0.165,0
NE_0026,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500.0,2,10.67,0.371,0
NE_0027,Capryol 90,Labrasol,11.5,172.2,12.0,450.0,2,9.67,0.273,1
NE_0028,Capryol 90,Tween 20,11.5,172.2,16.7,1227.0,2,12.8,0.261,1
NE_0029,Miglyol 812,Tween 20,15.0,520.0,16.7,1227.0,3,13.77,0.398,0
NE_0030,Oleic Acid,Labrasol,17.0,282.5,12.0,450.0,2,9.67,0.125,0
NE_0031,Castor Oil,Labrasol,14.0,933.4,12.0,450.0,2,9.67,0.262,0
NE_0032,Castor Oil,Labrasol,14.0,933.4,12.0,450.0,2,9.67,0.402,0
NE_0033,Capryol 90,Labrasol,11.5,172.2,12.0,450.0,3,10.25,0.147,1
NE_0034,Capryol 90,Labrasol,11.5,172.2,12.0,450.0,2,9.67,0.434,0
NE_0035,Miglyol 812,Tween 80,15.0,520.0,15.0,1310.0,3,12.5,0.35,0
NE_0036,Oleic Acid,Tween 80,17.0,282.5,15.0,1310.0,2,11.67,0.182,0
NE_0037,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500.0,3,11.38,0.337,0
NE_0038,Capryol 90,Labrasol,11.5,172.2,12.0,450.0,2,9.67,0.41,0
NE_0039,Miglyol 812,Tween 80,15.0,520.0,15.0,1310.0,1,10.0,0.28,0
NE_0040,Capryol 90,Tween 20,11.5,172.2,16.7,1227.0,2,12.8,0.388,0
NE_0041,Oleic Acid,Tween 20,17.0,282.5,16.7,1227.0,2,12.8,0.333,0
NE_0042,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500.0,3,11.38,0.312,0
NE_0043,Capryol 90,Labrasol,11.5,172.2,12.0,450.0,3,10.25,0.165,1
NE_0044,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500.0,3,11.38,0.218,0
NE_0045,Miglyol 812,Labrasol,15.0,520.0,12.0,450.0,2,9.67,0.439,0
NE_0046,Miglyol 812,Tween 20,15.0,520.0,16.7,1227.0,2,12.8,0.232,1
NE_0047,Miglyol 812,Tween 80,15.0,520.0,15.0,1310.0,3,12.5,0.101,0
NE_0048,Castor Oil,Tween 20,14.0,933.4,16.7,1227.0,2,12.8,0.342,0
NE_0049,Capryol 90,Tween 80,11.5,172.2,15.0,1310.0,3,12.5,0.293,1
NE_0050,Capryol 90,Cremophor EL,11.5,172.2,13.5,2500.0,3,11.38,0.329,0
NE_0051,Capryol 90,Tween 20,11.5,172.2,16.7,1227.0,2,12.8,0.424,0
NE_0052,Capryol 90,Labrasol,11.5,172.2,12.0,450.0,1,8.5,0.291,0
NE_0053,Capryol 90,Cremophor EL,11.5,172.2,13.5,2500.0,1,9.25,0.3,1
NE_0054,Capryol 90,Tween 80,11.5,172.2,15.0,1310.0,1,10.0,0.295,1
NE_0055,Miglyol 812,Tween 20,15.0,520.0,16.7,1227.0,1,10.85,0.164,0
NE_0056,Miglyol 812,Tween 80,15.0,520.0,15.0,1310.0,1,10.0,0.116,0
NE_0057,Capryol 90,Tween 80,11.5,172.2,15.0,1310.0,1,10.0,0.318,0
NE_0058,Oleic Acid,Tween 80,17.0,282.5,15.0,1310.0,1,10.0,0.442,0
NE_0059,Capryol 90,Tween 20,11.5,172.2,16.7,1227.0,2,12.8,0.408,0
NE_0060,Miglyol 812,Tween 80,15.0,520.0,15.0,1310.0,1,10.0,0.355,0
NE_0061,Capryol 90,Tween 80,11.5,172.2,15.0,1310.0,1,10.0,0.287,1
NE_0062,Oleic Acid,Tween 20,17.0,282.5,16.7,1227.0,3,13.77,0.237,0
NE_0063,Capryol 90,Tween 20,11.5,172.2,16.7,1227.0,1,10.85,0.382,0
NE_0064,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500.0,2,10.67,0.123,0
NE_0065,Capryol 90,Tween 20,11.5,172.2,16.7,1227.0,3,13.77,0.169,1
NE_0066,Oleic Acid,Labrasol,17.0,282.5,12.0,450.0,2,9.67,0.146,0
NE_0067,Miglyol 812,Labrasol,15.0,520.0,12.0,450.0,1,8.5,0.401,0
NE_0068,Castor Oil,Tween 20,14.0,933.4,16.7,1227.0,1,10.85,0.144,0
NE_0069,Miglyol 812,Labrasol,15.0,520.0,12.0,450.0,3,10.25,0.295,0
NE_0070,Miglyol 812,Labrasol,15.0,520.0,12.0,450.0,2,9.67,0.376,0
NE_0071,Miglyol 812,Tween 20,15.0,520.0,16.7,1227.0,2,12.8,0.13,1
NE_0072,Oleic Acid,Cremophor EL,17.0,282.5,13.5,2500.0,2,10.67,0.3,0
NE_0073,Oleic Acid,Tween 80,17.0,282.5,15.0,1310.0,3,12.5,0.1,0
NE_0074,Capryol 90,Cremophor EL,11.5,172.2,13.5,2500.0,1,9.25,0.315,0
NE_0075,Oleic Acid,Labrasol,17.0,282.5,12.0,450.0,3,10.25,0.379,0
NE_0076,Capryol 90,Tween 80,11.5,172.2,15.0,1310.0,3,12.5,0.245,1
NE_0077,Oleic Acid,Labrasol,17.0,282.5,12.0,450.0,3,10.25,0.442,0
NE_0078,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500.0,2,10.67,0.197,0
NE_0079,Oleic Acid,Cremophor EL,17.0,282.5,13.5,2500.0,3,11.38,0.301,0
NE_0080,Capryol 90,Tween 80,11.5,172.2,15.0,1310.0,1,10.0,0.372,0
NE_0081,Capryol 90,Tween 80,11.5,172.2,15.0,1310.0,2,11.67,0.349,0
NE_0082,Castor Oil,Cremophor EL,14.0,933.4,13.5,2500.0,3,11.38,0.243,0
NE_0083,Miglyol 812,Tween 80,15.0,520.0,15.0,1310.0,2,11.67,0.232,0
NE_0084,Castor Oil,Cremophor EL,14.0,933.4,13.5,2500.0,3,11.38,0.323,0
NE_0085,Castor Oil,Labrasol,14.0,933.4,12.0,450.0,1,8.5,0.238,0
NE_0086,Miglyol 812,Tween 80,15.0,520.0,15.0,1310.0,1,10.0,0.217,0
NE_0087,Miglyol 812,Tween 80,15.0,520.0,15.0,1310.0,1,10.0,0.388,0
NE_0088,Oleic Acid,Labrasol,17.0,282.5,12.0,450.0,3,10.25,0.144,0
NE_0089,Castor Oil,Labrasol,14.0,933.4,12.0,450.0,3,10.25,0.134,0
NE_0090,Castor Oil,Cremophor EL,14.0,933.4,13.5,2500.0,3,11.38,0.265,0
NE_0091,Oleic Acid,Cremophor EL,17.0,282.5,13.5,2500.0,3,11.38,0.135,0
NE_0092,Capryol 90,Tween 80,11.5,172.2,15.0,1310.0,2,11.67,0.155,1
NE_0093,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500.0,2,10.67,0.109,0
NE_0094,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500.0,2,10.67,0.34,0
NE_0095,Capryol 90,Tween 80,11.5,172.2,15.0,1310.0,1,10.0,0.328,0
NE_0096,Castor Oil,Tween 20,14.0,933.4,16.7,1227.0,1,10.85,0.353,0
NE_0097,Oleic Acid,Labrasol,17.0,282.5,12.0,450.0,1,8.5,0.373,0
NE_0098,Capryol 90,Tween 80,11.5,172.2,15.0,1310.0,1,10.0,0.45,0
NE_0099,Oleic Acid,Tween 80,17.0,282.5,15.0,1310.0,3,12.5,0.19,0
NE_0100,Castor Oil,Labrasol,14.0,933.4,12.0,450.0,2,9.67,0.19,0
NE_0101,Oleic Acid,Labrasol,17.0,282.5,12.0,450.0,1,8.5,0.127,0
NE_0102,Castor Oil,Tween 80,14.0,933.4,15.0,1310.0,2,11.67,0.122,1
NE_0103,Castor Oil,Labrasol,14.0,933.4,12.0,450.0,1,8.5,0.274,0
NE_0104,Miglyol 812,Tween 20,15.0,520.0,16.7,1227.0,2,12.8,0.181,1
NE_0105,Capryol 90,Cremophor EL,11.5,172.2,13.5,2500.0,1,9.25,0.374,0
NE_0106,Oleic Acid,Tween 80,17.0,282.5,15.0,1310.0,1,10.0,0.386,0
NE_0107,Oleic Acid,Labrasol,17.0,282.5,12.0,450.0,1,8.5,0.357,0
NE_0108,Oleic Acid,Labrasol,17.0,282.5,12.0,450.0,1,8.5,0.196,0
NE_0109,Capryol 90,Tween 20,11.5,172.2,16.7,1227.0,3,13.77,0.431,0
NE_0110,Capryol 90,Labrasol,11.5,172.2,12.0,450.0,3,10.25,0.445,0
NE_0111,Miglyol 812,Labrasol,15.0,520.0,12.0,450.0,2,9.67,0.221,0
NE_0112,Miglyol 812,Labrasol,15.0,520.0,12.0,450.0,3,10.25,0.19,0
NE_0113,Castor Oil,Tween 80,14.0,933.4,15.0,1310.0,3,12.5,0.386,0
NE_0114,Castor Oil,Tween 20,14.0,933.4,16.7,1227.0,3,13.77,0.369,0
NE_0115,Capryol 90,Tween 20,11.5,172.2,16.7,1227.0,1,10.85,0.24,1
NE_0116,Oleic Acid,Tween 20,17.0,282.5,16.7,1227.0,1,10.85,0.372,0
NE_0117,Oleic Acid,Tween 80,17.0,282.5,15.0,1310.0,1,10.0,0.235,0
NE_0118,Miglyol 812,Tween 80,15.0,520.0,15.0,1310.0,1,10.0,0.12,0
NE_0119,Capryol 90,Tween 80,11.5,172.2,15.0,1310.0,2,11.67,0.339,0
NE_0120,Oleic Acid,Tween 80,17.0,282.5,15.0,1310.0,2,11.67,0.162,0
NE_0121,Miglyol 812,Tween 20,15.0,520.0,16.7,1227.0,3,13.77,0.349,0
NE_0122,Miglyol 812,Tween 80,15.0,520.0,15.0,1310.0,1,10.0,0.435,0
NE_0123,Miglyol 812,Labrasol,15.0,520.0,12.0,450.0,2,9.67,0.337,0
NE_0124,Capryol 90,Tween 80,11.5,172.2,15.0,1310.0,3,12.5,0.235,1
NE_0125,Miglyol 812,Labrasol,15.0,520.0,12.0,450.0,1,8.5,0.185,0
NE_0126,Capryol 90,Labrasol,11.5,172.2,12.0,450.0,1,8.5,0.117,0
NE_0127,Castor Oil,Labrasol,14.0,933.4,12.0,450.0,2,9.67,0.306,0
NE_0128,Castor Oil,Cremophor EL,14.0,933.4,13.5,2500.0,1,9.25,0.374,0
NE_0129,Oleic Acid,Tween 80,17.0,282.5,15.0,1310.0,2,11.67,0.111,0
NE_0130,Capryol 90,Labrasol,11.5,172.2,12.0,450.0,3,10.25,0.339,0
NE_0131,Capryol 90,Cremophor EL,11.5,172.2,13.5,2500.0,1,9.25,0.364,0
NE_0132,Miglyol 812,Tween 80,15.0,520.0,15.0,1310.0,1,10.0,0.269,0
NE_0133,Oleic Acid,Tween 80,17.0,282.5,15.0,1310.0,1,10.0,0.111,0
NE_0134,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500.0,3,11.38,0.305,0
NE_0135,Capryol 90,Tween 20,11.5,172.2,16.7,1227.0,1,10.85,0.448,0
NE_0136,Miglyol 812,Tween 20,15.0,520.0,16.7,1227.0,3,13.77,0.24,1
NE_0137,Castor Oil,Tween 80,14.0,933.4,15.0,1310.0,1,10.0,0.162,0
NE_0138,Oleic Acid,Labrasol,17.0,282.5,12.0,450.0,2,9.67,0.358,0
NE_0139,Oleic Acid,Tween 20,17.0,282.5,16.7,1227.0,1,10.85,0.41,0
NE_0140,Capryol 90,Labrasol,11.5,172.2,12.0,450.0,1,8.5,0.313,0
NE_0141,Castor Oil,Tween 20,14.0,933.4,16.7,1227.0,2,12.8,0.123,1
NE_0142,Miglyol 812,Tween 20,15.0,520.0,16.7,1227.0,1,10.85,0.36,0
NE_0143,Capryol 90,Tween 80,11.5,172.2,15.0,1310.0,3,12.5,0.357,0
NE_0144,Capryol 90,Tween 20,11.5,172.2,16.7,1227.0,1,10.85,0.101,1
NE_0145,Capryol 90,Cremophor EL,11.5,172.2,13.5,2500.0,2,10.67,0.23,1
NE_0146,Castor Oil,Labrasol,14.0,933.4,12.0,450.0,2,9.67,0.434,0
NE_0147,Castor Oil,Tween 20,14.0,933.4,16.7,1227.0,1,10.85,0.32,0
NE_0148,Oleic Acid,Labrasol,17.0,282.5,12.0,450.0,3,10.25,0.202,0
NE_0149,Oleic Acid,Cremophor EL,17.0,282.5,13.5,2500.0,2,10.67,0.27,0
NE_0150,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500.0,1,9.25,0.284,0
NE_0151,Castor Oil,Tween 80,14.0,933.4,15.0,1310.0,1,10.0,0.366,0
NE_0152,Capryol 90,Tween 80,11.5,172.2,15.0,1310.0,1,10.0,0.231,1
NE_0153,Capryol 90,Labrasol,11.5,172.2,12.0,450.0,2,9.67,0.233,1
NE_0154,Capryol 90,Cremophor EL,11.5,172.2,13.5,2500.0,1,9.25,0.404,0
NE_0155,Oleic Acid,Tween 80,17.0,282.5,15.0,1310.0,1,10.0,0.14,0
NE_0156,Oleic Acid,Tween 80,17.0,282.5,15.0,1310.0,1,10.0,0.433,0
NE_0157,Oleic Acid,Tween 80,17.0,282.5,15.0,1310.0,1,10.0,0.11,0
NE_0158,Castor Oil,Labrasol,14.0,933.4,12.0,450.0,1,8.5,0.384,0
NE_0159,Capryol 90,Tween 20,11.5,172.2,16.7,1227.0,1,10.85,0.349,0
NE_0160,Oleic Acid,Cremophor EL,17.0,282.5,13.5,2500.0,2,10.67,0.209,0
NE_0161,Oleic Acid,Tween 80,17.0,282.5,15.0,1310.0,1,10.0,0.289,0
NE_0162,Oleic Acid,Labrasol,17.0,282.5,12.0,450.0,2,9.67,0.348,0
NE_0163,Castor Oil,Labrasol,14.0,933.4,12.0,450.0,2,9.67,0.387,0
NE_0164,Miglyol 812,Tween 20,15.0,520.0,16.7,1227.0,3,13.77,0.14,1
NE_0165,Miglyol 812,Tween 80,15.0,520.0,15.0,1310.0,1,10.0,0.404,0
NE_0166,Oleic Acid,Labrasol,17.0,282.5,12.0,450.0,2,9.67,0.342,0
NE_0167,Oleic Acid,Cremophor EL,17.0,282.5,13.5,2500.0,1,9.25,0.375,0
NE_0168,Capryol 90,Labrasol,11.5,172.2,12.0,450.0,3,10.25,0.252,1
NE_0169,Oleic Acid,Tween 20,17.0,282.5,16.7,1227.0,1,10.85,0.307,0
NE_0170,Castor Oil,Labrasol,14.0,933.4,12.0,450.0,1,8.5,0.39,0
NE_0171,Castor Oil,Cremophor EL,14.0,933.4,13.5,2500.0,3,11.38,0.15,0
NE_0172,Capryol 90,Tween 20,11.5,172.2,16.7,1227.0,1,10.85,0.308,0
NE_0173,Capryol 90,Cremophor EL,11.5,172.2,13.5,2500.0,3,11.38,0.423,0
NE_0174,Miglyol 812,Labrasol,15.0,520.0,12.0,450.0,2,9.67,0.303,0
NE_0175,Castor Oil,Labrasol,14.0,933.4,12.0,450.0,2,9.67,0.172,0
NE_0176,Oleic Acid,Cremophor EL,17.0,282.5,13.5,2500.0,1,9.25,0.264,0
NE_0177,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500.0,2,10.67,0.438,0
NE_0178,Castor Oil,Labrasol,14.0,933.4,12.0,450.0,1,8.5,0.296,0
NE_0179,Miglyol 812,Tween 80,15.0,520.0,15.0,1310.0,2,11.67,0.21,0
NE_0180,Miglyol 812,Tween 20,15.0,520.0,16.7,1227.0,1,10.85,0.384,0
NE_0181,Capryol 90,Tween 80,11.5,172.2,15.0,1310.0,2,11.67,0.239,1
NE_0182,Miglyol 812,Tween 80,15.0,520.0,15.0,1310.0,1,10.0,0.224,0
NE_0183,Capryol 90,Labrasol,11.5,172.2,12.0,450.0,3,10.25,0.413,0
NE_0184,Oleic Acid,Labrasol,17.0,282.5,12.0,450.0,2,9.67,0.333,0
NE_0185,Miglyol 812,Tween 20,15.0,520.0,16.7,1227.0,1,10.85,0.185,0
NE_0186,Oleic Acid,Tween 80,17.0,282.5,15.0,1310.0,2,11.67,0.307,0
NE_0187,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500.0,2,10.67,0.398,0
NE_0188,Capryol 90,Tween 80,11.5,172.2,15.0,1310.0,3,12.5,0.263,1
NE_0189,Capryol 90,Labrasol,11.5,172.2,12.0,450.0,1,8.5,0.354,0
NE_0190,Capryol 90,Tween 20,11.5,172.2,16.7,1227.0,3,13.77,0.121,1
NE_0191,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500.0,2,10.67,0.348,0
NE_0192,Capryol 90,Tween 80,11.5,172.2,15.0,1310.0,3,12.5,0.109,1
NE_0193,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500.0,2,10.67,0.378,0
NE_0194,Capryol 90,Tween 80,11.5,172.2,15.0,1310.0,2,11.67,0.15,1
NE_0195,Miglyol 812,Labrasol,15.0,520.0,12.0,450.0,2,9.67,0.156,0
NE_0196,Capryol 90,Tween 20,11.5,172.2,16.7,1227.0,1,10.85,0.34,0
NE_0197,Castor Oil,Cremophor EL,14.0,933.4,13.5,2500.0,1,9.25,0.202,0
NE_0198,Miglyol 812,Tween 80,15.0,520.0,15.0,1310.0,3,12.5,0.342,0
NE_0199,Castor Oil,Labrasol,14.0,933.4,12.0,450.0,2,9.67,0.367,0
NE_0200,Capryol 90,Tween 80,11.5,172.2,15.0,1310.0,1,10.0,0.273,1
NE_0201,Capryol 90,Cremophor EL,11.5,172.2,13.5,2500.0,1,9.25,0.119,1
NE_0202,Capryol 90,Cremophor EL,11.5,172.2,13.5,2500.0,1,9.25,0.384,0
NE_0203,Capryol 90,Tween 80,11.5,172.2,15.0,1310.0,3,12.5,0.412,0
NE_0204,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500.0,2,10.67,0.118,0
NE_0205,Oleic Acid,Tween 80,17.0,282.5,15.0,1310.0,2,11.67,0.399,0
NE_0206,Miglyol 812,Tween 20,15.0,520.0,16.7,1227.0,1,10.85,0.359,0
NE_0207,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500.0,1,9.25,0.292,0
NE_0208,Castor Oil,Labrasol,14.0,933.4,12.0,450.0,2,9.67,0.363,0
NE_0209,Castor Oil,Tween 20,14.0,933.4,16.7,1227.0,1,10.85,0.222,0
NE_0210,Capryol 90,Tween 80,11.5,172.2,15.0,1310.0,2,11.67,0.44,0
NE_0211,Oleic Acid,Tween 80,17.0,282.5,15.0,1310.0,1,10.0,0.17,0
NE_0212,Oleic Acid,Tween 80,17.0,282.5,15.0,1310.0,1,10.0,0.378,0
NE_0213,Capryol 90,Labrasol,11.5,172.2,12.0,450.0,2,9.67,0.4,0
NE_0214,Miglyol 812,Tween 20,15.0,520.0,16.7,1227.0,1,10.85,0.244,0
NE_0215,Capryol 90,Tween 80,11.5,172.2,15.0,1310.0,3,12.5,0.325,0
NE_0216,Castor Oil,Tween 80,14.0,933.4,15.0,1310.0,3,12.5,0.129,1
NE_0217,Oleic Acid,Tween 80,17.0,282.5,15.0,1310.0,3,12.5,0.391,0
NE_0218,Castor Oil,Cremophor EL,14.0,933.4,13.5,2500.0,2,10.67,0.186,0
NE_0219,Miglyol 812,Tween 80,15.0,520.0,15.0,1310.0,1,10.0,0.41,0
NE_0220,Castor Oil,Labrasol,14.0,933.4,12.0,450.0,2,9.67,0.383,0
NE_0221,Capryol 90,Tween 80,11.5,172.2,15.0,1310.0,1,10.0,0.151,1
NE_0222,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500.0,3,11.38,0.336,0
NE_0223,Capryol 90,Tween 80,11.5,172.2,15.0,1310.0,2,11.67,0.371,0
NE_0224,Oleic Acid,Tween 20,17.0,282.5,16.7,1227.0,2,12.8,0.161,0
NE_0225,Castor Oil,Tween 20,14.0,933.4,16.7,1227.0,1,10.85,0.406,0
NE_0226,Oleic Acid,Cremophor EL,17.0,282.5,13.5,2500.0,1,9.25,0.368,0
NE_0227,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500.0,1,9.25,0.161,0
NE_0228,Castor Oil,Labrasol,14.0,933.4,12.0,450.0,1,8.5,0.4,0
NE_0229,Oleic Acid,Labrasol,17.0,282.5,12.0,450.0,3,10.25,0.162,0
NE_0230,Capryol 90,Tween 20,11.5,172.2,16.7,1227.0,1,10.85,0.338,0
NE_0231,Miglyol 812,Labrasol,15.0,520.0,12.0,450.0,1,8.5,0.143,0
NE_0232,Oleic Acid,Tween 20,17.0,282.5,16.7,1227.0,2,12.8,0.253,0
NE_0233,Castor Oil,Cremophor EL,14.0,933.4,13.5,2500.0,2,10.67,0.349,0
NE_0234,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500.0,3,11.38,0.182,0
NE_0235,Oleic Acid,Cremophor EL,17.0,282.5,13.5,2500.0,3,11.38,0.438,0
NE_0236,Capryol 90,Cremophor EL,11.5,172.2,13.5,2500.0,3,11.38,0.432,0
NE_0237,Castor Oil,Tween 80,14.0,933.4,15.0,1310.0,3,12.5,0.293,1
NE_0238,Capryol 90,Tween 20,11.5,172.2,16.7,1227.0,2,12.8,0.292,1
NE_0239,Capryol 90,Tween 20,11.5,172.2,16.7,1227.0,3,13.77,0.134,1
NE_0240,Oleic Acid,Labrasol,17.0,282.5,12.0,450.0,2,9.67,0.315,0
NE_0241,Oleic Acid,Tween 80,17.0,282.5,15.0,1310.0,2,11.67,0.178,0
NE_0242,Capryol 90,Cremophor EL,11.5,172.2,13.5,2500.0,1,9.25,0.342,0
NE_0243,Castor Oil,Tween 80,14.0,933.4,15.0,1310.0,1,10.0,0.346,0
NE_0244,Castor Oil,Labrasol,14.0,933.4,12.0,450.0,2,9.67,0.418,0
NE_0245,Miglyol 812,Tween 20,15.0,520.0,16.7,1227.0,1,10.85,0.119,0
NE_0246,Capryol 90,Tween 20,11.5,172.2,16.7,1227.0,1,10.85,0.154,1
NE_0247,Oleic Acid,Tween 80,17.0,282.5,15.0,1310.0,2,11.67,0.241,0
NE_0248,Capryol 90,Labrasol,11.5,172.2,12.0,450.0,1,8.5,0.232,0
NE_0249,Capryol 90,Labrasol,11.5,172.2,12.0,450.0,1,8.5,0.158,0
NE_0250,Miglyol 812,Labrasol,15.0,520.0,12.0,450.0,1,8.5,0.375,0
NE_0251,Capryol 90,Tween 20,11.5,172.2,16.7,1227.0,3,13.77,0.426,0
NE_0252,Miglyol 812,Tween 20,15.0,520.0,16.7,1227.0,1,10.85,0.281,0
NE_0253,Castor Oil,Labrasol,14.0,933.4,12.0,450.0,3,10.25,0.359,0
NE_0254,Capryol 90,Tween 80,11.5,172.2,15.0,1310.0,1,10.0,0.25,1
NE_0255,Miglyol 812,Labrasol,15.0,520.0,12.0,450.0,2,9.67,0.337,0
NE_0256,Oleic Acid,Cremophor EL,17.0,282.5,13.5,2500.0,1,9.25,0.101,0
NE_0257,Capryol 90,Tween 80,11.5,172.2,15.0,1310.0,1,10.0,0.204,1
NE_0258,Castor Oil,Labrasol,14.0,933.4,12.0,450.0,3,10.25,0.273,0
NE_0259,Castor Oil,Tween 80,14.0,933.4,15.0,1310.0,1,10.0,0.431,0
NE_0260,Castor Oil,Tween 20,14.0,933.4,16.7,1227.0,1,10.85,0.276,0
NE_0261,Miglyol 812,Labrasol,15.0,520.0,12.0,450.0,1,8.5,0.383,0
NE_0262,Castor Oil,Tween 80,14.0,933.4,15.0,1310.0,2,11.67,0.232,1
NE_0263,Capryol 90,Tween 80,11.5,172.2,15.0,1310.0,3,12.5,0.419,0
NE_0264,Castor Oil,Tween 20,14.0,933.4,16.7,1227.0,2,12.8,0.231,1
NE_0265,Oleic Acid,Tween 80,17.0,282.5,15.0,1310.0,2,11.67,0.386,0
NE_0266,Oleic Acid,Tween 80,17.0,282.5,15.0,1310.0,1,10.0,0.411,0
NE_0267,Castor Oil,Cremophor EL,14.0,933.4,13.5,2500.0,3,11.38,0.159,0
NE_0268,Miglyol 812,Tween 20,15.0,520.0,16.7,1227.0,2,12.8,0.379,0
NE_0269,Capryol 90,Tween 20,11.5,172.2,16.7,1227.0,1,10.85,0.183,1
NE_0270,Castor Oil,Labrasol,14.0,933.4,12.0,450.0,3,10.25,0.378,0
NE_0271,Oleic Acid,Labrasol,17.0,282.5,12.0,450.0,1,8.5,0.194,0
NE_0272,Castor Oil,Labrasol,14.0,933.4,12.0,450.0,1,8.5,0.263,0
NE_0273,Miglyol 812,Tween 80,15.0,520.0,15.0,1310.0,2,11.67,0.378,0
NE_0274,Capryol 90,Labrasol,11.5,172.2,12.0,450.0,1,8.5,0.447,0
NE_0275,Capryol 90,Tween 80,11.5,172.2,15.0,1310.0,3,12.5,0.27,1
NE_0276,Oleic Acid,Cremophor EL,17.0,282.5,13.5,2500.0,1,9.25,0.349,0
NE_0277,Capryol 90,Tween 20,11.5,172.2,16.7,1227.0,3,13.77,0.389,0
NE_0278,Oleic Acid,Cremophor EL,17.0,282.5,13.5,2500.0,3,11.38,0.267,0
NE_0279,Oleic Acid,Tween 20,17.0,282.5,16.7,1227.0,2,12.8,0.377,0
NE_0280,Oleic Acid,Labrasol,17.0,282.5,12.0,450.0,2,9.67,0.127,0
NE_0281,Oleic Acid,Cremophor EL,17.0,282.5,13.5,2500.0,1,9.25,0.155,0
NE_0282,Castor Oil,Cremophor EL,14.0,933.4,13.5,2500.0,3,11.38,0.136,0
NE_0283,Castor Oil,Tween 80,14.0,933.4,15.0,1310.0,2,11.67,0.122,1
NE_0284,Castor Oil,Tween 20,14.0,933.4,16.7,1227.0,3,13.77,0.13,1
